#,,,,Start,,,Highest Point,,,End,,,,,,
#,Date,Satellite,Brightness (mag),Time,Altitude,Azimuth,Time,Altitude,Azimuth,Time,Altitude,Azimuth,,,,
,13-Oct,STARLINK-1015,11,17:06:02,10°,E,19:00:35,24°,ESE,20:10:40,10°,SE,,,,
,13-Oct,STARLINK-1029,8.4,17:23:43,10°,WSW,18:47:32,60°,SSE,19:15:40,10°,ENE,,,,
,13-Oct,STARLINK-1176,7.6,18:34:09,10°,SW,19:09:56,67°,SE,19:24:05,10°,ENE,,,,
,13-Oct,STARLINK-1713,8.4,18:48:09,10°,WNW,19:02:43,72°,SW,20:22:42,10°,ESE,,,,
,13-Oct,STARLINK-2095,8.3,18:48:22,10°,SW,19:09:21,50°,SSE,19:33:17,12°,E,,,,
,13-Oct,STARLINK-1228,7.4,18:49:49,10°,W,19:04:33,26°,SW,19:11:19,10°,SSE,,,,
,13-Oct,STARLINK-1247,8.6,18:53:55,10°,W,19:00:24,19°,NW,19:12:03,10°,N,,,,
,13-Oct,STARLINK-1031,6.2,18:54:51,10°,SW,19:03:10,75°,NW,19:15:13,10°,NNE,,,,
,13-Oct,STARLINK-1605,5.4,18:54:58,10°,NNW,19:01:27,65°,NE,19:11:14,10°,SE,,,,
,13-Oct,STARLINK-1767,7.7,18:55:03,10°,WSW,19:07:58,28°,SSW,19:16:43,10°,SSE,,,,
,13-Oct,STARLINK-1107,4.6,18:56:13,10°,NNW,19:00:44,58°,NE,19:07:42,10°,SE,,,,
,13-Oct,STARLINK-1742,7.6,18:58:11,10°,SW,19:08:24,29°,SSE,19:19:59,10°,ESE,,,,
,13-Oct,STARLINK-2272,5.4,18:58:17,10°,WNW,19:03:07,45°,SW,19:08:07,10°,SSE,,,,
,13-Oct,STARLINK-1056,8.1,19:00:37,10°,SW,19:41:17,88°,NW,20:00:03,10°,NE,,,,
,13-Oct,STARLINK-3947,4.4,19:00:51,10°,N,19:04:28,31°,NE,19:08:08,10°,ESE,,,,
,13-Oct,STARLINK-2480,5.7,19:01:14,10°,WNW,19:05:34,34°,SW,19:09:33,10°,SSE,,,,
,13-Oct,STARLINK-3239,?,19:01:19,10°,SSW,19:04:49,27°,SE,19:08:16,10°,E,,,,
,13-Oct,STARLINK-3415,4,19:01:47,10°,NNW,19:05:39,42°,NE,19:09:34,10°,ESE,,,,
,13-Oct,STARLINK-4770,3.6,19:01:49,10°,NNW,19:05:53,65°,NE,19:10:01,10°,SE,,,,
,13-Oct,STARLINK-2043,4.9,19:02:05,10°,SSW,19:05:15,23°,SE,19:08:28,10°,E,,,,
,13-Oct,STARLINK-2568,5.5,19:02:10,10°,SSW,19:06:40,28°,SE,19:11:25,10°,E,,,,
,13-Oct,STARLINK-4688,4.2,19:02:15,10°,SSW,19:05:13,29°,SE,19:08:10,10°,ENE,,,,
,13-Oct,STARLINK-4010,?,19:02:21,10°,NNW,19:06:23,67°,NE,19:10:32,10°,SE,,,,
,13-Oct,FALCON 9 DEB,?,19:02:35,10°,SSW,19:07:07,44°,SE,19:11:27,10°,ENE,,,,
,13-Oct,STARLINK-2377,6.5,19:03:04,10°,WSW,19:05:41,16°,SW,19:08:19,10°,S,,,,
,13-Oct,STARLINK-1165,5.5,19:03:36,10°,WSW,19:08:28,42°,NW,19:13:33,10°,NNE,,,,
,13-Oct,STARLINK-3346,6,19:03:49,10°,WSW,19:07:31,25°,NW,19:11:11,10°,N,,,,
,13-Oct,STARLINK-1258,8.8,19:04:06,10°,W,19:30:14,43°,SSW,19:52:08,10°,ESE,,,,
,13-Oct,STARLINK-3961,5.8,19:04:17,10°,W,19:07:51,28°,SW,19:11:27,10°,SSE,,,,
,13-Oct,STARLINK-1613,6.2,19:04:27,10°,SSE,19:05:20,10°,SSE,19:06:12,10°,SE,,,,
,13-Oct,STARLINK-3395,?,19:04:30,10°,NNW,19:08:24,41°,NE,19:12:22,10°,ESE,,,,
,13-Oct,STARLINK-2579,5.3,19:04:31,10°,SSW,19:08:04,23°,SE,19:11:35,10°,E,,,,
,13-Oct,STARLINK-4666,?,19:04:35,10°,SSW,19:08:15,13°,S,19:11:46,10°,SSE,,,,
,13-Oct,STARLINK-2525,4.3,19:04:38,10°,SSW,19:09:09,49°,SE,19:13:37,10°,ENE,,,,
,13-Oct,STARLINK-3659,?,19:04:57,10°,NNE,19:07:48,18°,ENE,19:10:42,10°,ESE,,,,
,13-Oct,STARLINK-2284,3.3,19:05:03,10°,SW,19:08:43,90°,NW,19:12:18,10°,NE,,,,
,13-Oct,STARLINK-4116,3.9,19:05:05,10°,SW,19:09:25,77°,NW,19:13:42,10°,NE,,,,
,13-Oct,STARLINK-1033,3.8,19:05:15,10°,SW,19:09:44,73°,SE,19:14:09,10°,NE,,,,
,13-Oct,STARLINK-4008,4.6,19:05:16,10°,WNW,19:09:18,50°,SW,19:13:26,10°,SSE,,,,
,13-Oct,STARLINK-3276,?,19:05:27,10°,SW,19:06:10,10°,SSW,19:06:52,10°,SSW,,,,
,13-Oct,STARLINK-1099,4.2,19:05:30,10°,SW,19:10:35,71°,SE,19:15:41,10°,NE,,,,
,13-Oct,STARLINK-3172,?,19:05:32,10°,NE,19:06:49,11°,ENE,19:08:07,10°,ENE,,,,
,13-Oct,STARLINK-4785,4.2,19:05:39,10°,S,19:07:15,17°,SE,19:09:00,10°,E,,,,
,13-Oct,STARLINK-1084,5.4,19:05:40,10°,W,19:08:29,26°,SW,19:11:23,10°,SSE,,,,
,13-Oct,STARLINK-1980,3.6,19:06:05,10°,SW,19:10:03,73°,SE,19:14:08,10°,NE,,,,
,13-Oct,STARLINK-2238,?,19:06:07,10°,SW,19:10:13,57°,NW,19:14:16,10°,NNE,,,,
,13-Oct,STARLINK-1434,6,19:06:11,10°,N,19:12:33,32°,ENE,19:19:51,10°,ESE,,,,
,13-Oct,STARLINK-4330,6.8,19:06:37,10°,NW,19:09:16,17°,W,19:11:55,10°,SW,,,,
,13-Oct,STARLINK-4534,?,19:06:40,10°,N,19:10:19,23°,NE,19:13:47,10°,ESE,,,,
,13-Oct,STARLINK-3653,?,19:06:44,10°,NNE,19:09:14,16°,ENE,19:11:46,10°,E,,,,
,13-Oct,STARLINK-1009,3.1,19:06:54,10°,N,19:08:00,15°,NE,19:09:06,10°,E,,,,
,13-Oct,STARLINK-3874,5.9,19:06:54,10°,S,19:09:06,14°,SSE,19:11:19,10°,ESE,,,,
,13-Oct,STARLINK-3236,?,19:07:12,10°,W,19:09:52,16°,WNW,19:12:31,10°,NNW,,,,
,13-Oct,STARLINK-4011,4.7,19:07:19,10°,N,19:10:42,25°,NE,19:14:06,10°,ESE,,,,
,13-Oct,STARLINK-2743,3.8,19:07:25,10°,NNW,19:11:41,70°,NE,19:16:19,10°,SE,,,,
,13-Oct,STARLINK-2127,6.1,19:07:27,10°,SSE,19:08:41,11°,SSE,19:09:56,10°,SE,,,,
,13-Oct,STARLINK-4176,5.9,19:07:34,10°,S,19:09:10,12°,SSE,19:10:46,10°,SE,,,,
,13-Oct,STARLINK-2104,5.5,19:07:36,10°,NNE,19:09:38,13°,ENE,19:11:43,10°,E,,,,
,13-Oct,STARLINK-3282,?,19:07:37,10°,WSW,19:09:49,14°,SSW,19:12:02,10°,S,,,,
,13-Oct,STARLINK-2160,6,19:07:44,10°,S,19:10:05,14°,SSE,19:12:26,10°,ESE,,,,
,13-Oct,STARLINK-3301,?,19:07:44,10°,WSW,19:09:32,12°,SSW,19:11:19,10°,S,,,,
,13-Oct,STARLINK-2430,6,19:07:45,10°,SSE,19:08:24,10°,SSE,19:09:03,10°,SE,,,,
,13-Oct,STARLINK-4299,5.3,19:07:47,10°,S,19:10:48,19°,SE,19:13:48,10°,E,,,,
,13-Oct,STARLINK-1184,6.5,19:07:52,10°,WSW,19:09:57,13°,SSW,19:12:02,10°,S,,,,
,13-Oct,STARLINK-4670,5.5,19:07:52,10°,WNW,19:11:35,32°,SW,19:15:19,10°,SSE,,,,
,13-Oct,STARLINK-1466,5.2,19:07:53,10°,SSW,19:12:28,31°,SE,19:17:01,10°,ENE,,,,
,13-Oct,STARLINK-1357,6.1,19:08:08,10°,SSW,19:15:11,43°,SE,19:24:16,11°,ENE,,,,
,13-Oct,STARLINK-1450,7.2,19:08:12,10°,SSW,19:08:47,10°,SSW,19:09:23,10°,SSW,,,,
,13-Oct,STARLINK-3627,6.8,19:08:16,10°,WSW,19:10:36,13°,SSW,19:12:59,10°,S,,,,
,13-Oct,STARLINK-4314,7,19:08:16,10°,NW,19:10:17,14°,W,19:12:19,10°,WSW,,,,
,13-Oct,STARLINK-1266,3.6,19:08:33,10°,SW,19:12:43,77°,SE,19:16:52,10°,NE,,,,
,13-Oct,STARLINK-3173,?,19:08:36,10°,NE,19:09:32,11°,ENE,19:10:28,10°,ENE,,,,
,13-Oct,STARLINK-1239,4.5,19:08:55,10°,NW,19:13:46,69°,SW,19:18:51,10°,SE,,,,
,13-Oct,STARLINK-4682,5.5,19:09:14,10°,S,19:11:08,13°,SE,19:13:01,10°,ESE,,,,
